Timestamp,Step,Train_Loss,Val_Loss,Gap,Live_Train_Loss,Train_Smoothed_Loss,Val_Smoothed_Loss,LR,TPS,Mem_GB,Eval_Batches,Best_Val_Raw_Loss
2026-07-15T09:30:50.087404,2500,1.515849,1.188165,-0.327684,2.624350,2.520442,2.219837,2.00000000e-05,275368,9.73,50,1.185209
2026-07-15T09:31:43.766352,2550,1.516276,1.188007,-0.328269,2.655488,2.520590,2.219494,2.00000000e-05,274619,9.73,50,1.185209
2026-07-15T09:32:37.405650,2600,1.516352,1.189062,-0.327290,2.633325,2.520280,2.220121,2.00000000e-05,275778,9.73,50,1.185209
2026-07-15T09:33:31.049416,2650,1.515578,1.188738,-0.326840,2.758568,2.520127,2.220325,2.00000000e-05,274892,9.73,50,1.185209
2026-07-15T09:34:24.631268,2700,1.516223,1.188758,-0.327464,2.583073,2.520369,2.220301,2.00000000e-05,273264,9.73,50,1.185209
2026-07-15T09:35:18.232655,2750,1.516523,1.188607,-0.327916,2.576361,2.520586,2.219730,2.00000000e-05,275644,9.73,50,1.185209
2026-07-15T09:36:11.832487,2800,1.516895,1.189549,-0.327347,2.578572,2.520276,2.220034,2.00000000e-05,275987,9.73,50,1.185209
2026-07-15T09:37:05.512511,2850,1.515796,1.187940,-0.327856,2.646289,2.520284,2.219844,2.00000000e-05,274987,9.73,50,1.185209
2026-07-15T09:37:59.150824,2900,1.516011,1.188420,-0.327591,2.624503,2.520110,2.219819,2.00000000e-05,274764,9.73,50,1.185209
2026-07-15T09:38:52.813923,2950,1.516468,1.188438,-0.328030,2.587420,2.520276,2.219495,2.00000000e-05,274943,9.73,50,1.185209
2026-07-15T09:39:46.437156,3000,1.515917,1.188646,-0.327271,2.509030,2.520378,2.219906,2.00000000e-05,274892,9.73,50,1.185209
2026-07-15T09:40:40.137336,3050,1.515505,1.187649,-0.327856,2.589563,2.520066,2.219743,2.00000000e-05,274766,9.73,50,1.185209
2026-07-15T09:41:34.010864,3100,1.516151,1.188222,-0.327929,2.627376,2.520196,2.219717,2.00000000e-05,276088,9.73,50,1.185209
2026-07-15T09:42:28.193317,3150,1.516083,1.188328,-0.327755,2.703285,2.520269,2.219688,2.00000000e-05,274429,9.73,50,1.185209
